# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5290664891307297920" 11.40453 0.77547 1.55243 0.02421 1.41850 0.04544 0.87
"Gaia DR2 5291311889481560704" 11.40680 0.60391 1.56847 0.02519 1.48527 0.04327 0.13
"Gaia DR2 5290748424132935552" 11.41879 0.69526 1.55586 0.02458 1.46522 0.04513 0.62
"Gaia DR2 5290716881891963520" 11.41956 0.75069 1.55021 0.02422 1.43868 0.04731 0.85
"Gaia DR2 5290763095740848128" 11.42024 0.63587 1.56103 0.02484 1.47709 0.04333 0.26
"Gaia DR2 5290704306227620992" 11.43768 0.72428 1.54753 0.02445 1.45346 0.04487 0.75
"Gaia DR2 5290718599879047168" 11.46207 0.67622 1.54459 0.02433 1.46051 0.04280 0.44
"Gaia DR2 5290730488348194304" 11.46944 0.66836 1.54319 0.02442 1.46090 0.04135 0.37
"Gaia DR2 5291171701748700032" 11.48446 0.66070 1.53945 0.02457 1.45859 0.04159 0.30
"Gaia DR2 5289596479541623936" 11.49003 0.78110 1.52697 0.02381 1.40799 0.04883 0.86
"Gaia DR2 5290935341107132800" 11.49559 0.64800 1.53720 0.02435 1.45812 0.04095 0.20
"Gaia DR2 5290790446088863360" 11.49740 0.68174 1.53364 0.02421 1.45198 0.04208 0.41
"Gaia DR2 5290719390148237184" 11.50242 0.66848 1.53326 0.02438 1.45312 0.04150 0.31
"Gaia DR2 5290348339338231296" 11.50728 0.55243 1.54267 0.02488 1.46635 0.03884 0.25
"Gaia DR2 5290814875866306432" 11.54772 0.69393 1.51769 0.02408 1.43868 0.03979 0.40
"Gaia DR2 5290000309547500800" 11.55720 0.63138 1.52029 0.02422 1.44585 0.03580 0.11
"Gaia DR2 5290741036787805440" 11.57190 0.65810 1.51368 0.02400 1.43880 0.03664 0.15
"Gaia DR2 5290020650512718336" 11.59016 0.69431 1.50521 0.02370 1.43026 0.03484 0.33
"Gaia DR2 5289922244222398336" 11.60145 0.75638 1.49705 0.02341 1.41214 0.04035 0.72
"Gaia DR2 5290721554816473856" 11.60324 0.71861 1.49941 0.02345 1.42218 0.03585 0.47
"Gaia DR2 5290941835097576704" 11.60380 0.68102 1.50241 0.02382 1.42887 0.03435 0.22
"Gaia DR2 5290776633477524352" 11.60410 0.70039 1.50063 0.02370 1.42547 0.03505 0.35
"Gaia DR2 5290944137200387200" 11.60977 0.70312 1.49881 0.02351 1.42350 0.03509 0.35
"Gaia DR2 5290955544632800000" 11.62350 0.75013 1.49111 0.02327 1.41045 0.03932 0.65
"Gaia DR2 5290765397843334912" 11.62710 0.80251 1.48594 0.02311 1.37791 0.04670 0.86
"Gaia DR2 5290606140456026368" 11.63921 0.70977 1.48974 0.02344 1.41678 0.03394 0.35
"Gaia DR2 5290822022691634688" 11.64121 0.68009 1.49156 0.02362 1.42035 0.03241 0.16
"Gaia DR2 5290390086420227840" 11.64787 0.64766 1.49210 0.02372 1.42219 0.03158 0.13
"Gaia DR2 5290655549759621888" 11.65290 0.69259 1.48721 0.02362 1.41617 0.03315 0.21
"Gaia DR2 5294158799961435904" 11.66058 0.88154 1.47085 0.02260 1.33106 0.04033 0.77
"Gaia DR2 5291040103949259264" 11.70228 0.67869 1.47390 0.02324 1.40547 0.03079 0.12
"Gaia DR2 5291188812898066560" 11.71604 0.73998 1.46546 0.02298 1.39369 0.03366 0.43
"Gaia DR2 5290768215341699840" 11.71909 0.83829 1.45774 0.02245 1.34267 0.04431 0.86
"Gaia DR2 5290616791974803072" 11.73797 0.72672 1.46023 0.02297 1.39150 0.03099 0.30
"Gaia DR2 5290922593644422528" 11.74235 0.73489 1.45834 0.02286 1.38911 0.03195 0.35
"Gaia DR2 5290854939321026816" 11.80085 0.71678 1.44308 0.02264 1.37681 0.02979 0.16
"Gaia DR2 5290937505770739456" 11.80418 0.70366 1.44302 0.02272 1.37736 0.02919 0.12
"Gaia DR2 5290819651869671552" 11.81188 0.70942 1.44048 0.02261 1.37493 0.03006 0.13
"Gaia DR2 5291085321365182464" 11.81647 0.65236 1.44297 0.02282 1.37917 0.02896 0.24
"Gaia DR2 5290664929967787264" 11.81749 0.73751 1.43710 0.02251 1.37049 0.03098 0.25
"Gaia DR2 5289977872638551808" 11.82038 0.72319 1.43725 0.02256 1.37154 0.03026 0.16
"Gaia DR2 5290721142499618816" 11.83514 0.74612 1.43169 0.02228 1.36438 0.03197 0.28
"Gaia DR2 5290669602892315008" 11.83617 0.72378 1.43275 0.02231 1.36742 0.03016 0.15
"Gaia DR2 5289883417716710272" 11.83967 0.95518 1.41733 0.02163 1.27390 0.03630 0.72
"Gaia DR2 5290040544801035136" 11.86194 0.73438 1.42495 0.02219 1.35954 0.03066 0.17
"Gaia DR2 5289960619749942784" 11.86280 0.70495 1.42658 0.02238 1.36280 0.02935 0.13
"Gaia DR2 5290720867621791488" 11.87203 0.76179 1.42038 0.02211 1.35196 0.03309 0.33
"Gaia DR2 5290737218559327232" 11.88125 0.73773 1.41939 0.02215 1.35397 0.03012 0.17
"Gaia DR2 5290394690620893312" 11.88968 0.72376 1.41783 0.02207 1.35384 0.02845 0.12
"Gaia DR2 5290766188117237120" 11.89521 0.73658 1.41575 0.02203 1.35048 0.02885 0.15
"Gaia DR2 5290721898413863424" 11.90100 0.84377 1.40774 0.02160 1.31951 0.04190 0.82
"Gaia DR2 5290896067926369664" 11.90662 0.75243 1.41154 0.02201 1.34542 0.03018 0.21
"Gaia DR2 5290634418520265088" 11.90812 0.78884 1.40891 0.02184 1.33908 0.03328 0.47
"Gaia DR2 5290724681552584192" 11.91849 0.75803 1.40802 0.02176 1.34217 0.03036 0.23
"Gaia DR2 5290006734818801792" 11.91886 0.68771 1.41208 0.02214 1.34944 0.02645 0.21
"Gaia DR2 5290773919058477440" 11.93008 0.71142 1.40771 0.02189 1.34479 0.02781 0.15
"Gaia DR2 5291031582733905408" 11.94286 0.83520 1.39703 0.02145 1.31872 0.03904 0.74
"Gaia DR2 5290780997164946688" 11.94885 0.72127 1.40188 0.02185 1.33930 0.02716 0.14
"Gaia DR2 5290351393054467584" 11.96242 0.87662 1.38943 0.02120 1.28345 0.04531 0.86
"Gaia DR2 5290882461471091712" 11.96558 0.88739 1.38792 0.02135 1.27400 0.04370 0.87
"Gaia DR2 5290826867414904576" 11.97137 0.76027 1.39348 0.02155 1.33012 0.02908 0.18
"Gaia DR2 5290682797031462784" 11.97619 0.81632 1.38920 0.02132 1.31771 0.03546 0.57
"Gaia DR2 5290678360325641344" 11.99314 0.91707 1.37907 0.02119 1.24531 0.03843 0.85
"Gaia DR2 5290702107204358144" 11.99379 0.78330 1.38628 0.02144 1.32098 0.03142 0.30
"Gaia DR2 5290838962037067648" 12.00344 0.73037 1.38669 0.02150 1.32620 0.02761 0.14
"Gaia DR2 5290648712171776896" 12.00940 0.78373 1.38213 0.02114 1.31734 0.03037 0.28
"Gaia DR2 5290771032840440832" 12.01672 0.74470 1.38242 0.02124 1.32102 0.02767 0.12
"Gaia DR2 5290753749892394752" 12.02524 0.73657 1.38051 0.02132 1.31967 0.02684 0.14
"Gaia DR2 5290781443841554432" 12.03462 0.83267 1.37289 0.02099 1.30180 0.03424 0.60
"Gaia DR2 5290933829278574208" 12.04532 0.89674 1.36657 0.02074 1.25703 0.04385 0.87
"Gaia DR2 5290646130890161536" 12.04570 0.76654 1.37350 0.02107 1.31134 0.02819 0.14
"Gaia DR2 5290036627790843648" 12.04650 0.72983 1.37528 0.02115 1.31539 0.02647 0.17
